institution,ordinal_score_subject_matter_jurisdiction,environmental_protection_and_climate_change__within_igo,sustainable_development_and_capacity_building__within_igo,international_cooperation_and_governance__within_igo,research_science_and_innovation__within_igo,biodiversity_and_ecosystem_conservation__within_igo,trade_investment_and_economic_cooperation__within_igo,human_rights_social_justice_and_advocacy__within_igo,security_and_safety__within_igo,disaster_risk_reduction_and_resilience__within_igo,cultural_heritage_traditional_knowledge_and_data_governance__within_igo,environmental_protection_and_climate_change__across_igo,sustainable_development_and_capacity_building__across_igo,international_cooperation_and_governance__across_igo,research_science_and_innovation__across_igo,biodiversity_and_ecosystem_conservation__across_igo,trade_investment_and_economic_cooperation__across_igo,human_rights_social_justice_and_advocacy__across_igo,security_and_safety__across_igo,disaster_risk_reduction_and_resilience__across_igo,cultural_heritage_traditional_knowledge_and_data_governance__across_igo
UN Research Institute for Social Development (UNRISD),5,10.0,10.0,0.0,6.666666666667,0.0,0.0,10.0,0.0,6.666666666667,0.0,6.0,6.0,0.0,3.333333333333,0.0,0.0,10.0,0.0,5.0,0.0
"Secretariat of the Basel, Rotterdam and Stockholm Conventions (BRS)",4,6.666666666667,6.666666666667,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Secretariat of the Convention on Biological Diversity (CBD),4,0.0,5.0,5.0,0.0,10.0,0.0,0.0,2.5,0.0,0.0,0.0,4.0,6.666666666667,0.0,6.666666666667,0.0,0.0,2.0,0.0,0.0
Secretariat of the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES),4,0.0,3.333333333333,0.0,10.0,6.666666666667,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,3.333333333333,6.0,0.0,0.0,0.0,0.0
Secretariat of the Convention on Migratory Species (CMS),7,5.0,1.666666666667,5.0,6.666666666667,10.0,3.333333333333,0.0,0.0,0.0,0.0,6.0,2.0,10.0,6.666666666667,10.0,4.0,0.0,0.0,0.0,0.0
International Fund for Agricultural Development (IFAD),6,10.0,5.0,0.0,10.0,0.0,10.0,0.0,10.0,10.0,0.0,4.0,2.0,0.0,3.333333333333,0.0,4.0,0.0,4.0,5.0,0.0
International Trade Centre (ITC),4,0.0,6.666666666667,0.0,6.666666666667,0.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.333333333333,0.0,6.0,0.0,0.0,0.0,0.0
Secretariat of the United Nations Convention to Combat Desertification (UNCCD),8,10.0,7.5,2.5,5.0,7.5,0.0,5.0,5.0,0.0,0.0,8.0,6.0,3.333333333333,3.333333333333,5.0,0.0,6.666666666667,4.0,0.0,0.0
United Nations University (UNU),8,10.0,10.0,3.333333333333,6.666666666667,6.666666666667,3.333333333333,6.666666666667,6.666666666667,0.0,0.0,6.0,6.0,3.333333333333,3.333333333333,3.333333333333,2.0,6.666666666667,4.0,0.0,0.0
Ramsar Convention on Wetlands Secretariat (Ramsar),6,4.0,2.0,6.0,0.0,10.0,0.0,0.0,0.0,4.0,0.0,4.0,2.0,10.0,0.0,8.333333333333,0.0,0.0,0.0,5.0,0.0
Minamata Convention on Mercury (Minamata),6,10.0,3.333333333333,10.0,6.666666666667,0.0,6.666666666667,0.0,0.0,0.0,0.0,6.0,2.0,10.0,3.333333333333,0.0,4.0,0.0,0.0,0.0,0.0
United Nations Office for Outer Space Affairs (UNOOSA),4,0.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.666666666667,3.333333333333,0.0,0.0,0.0,0.0,0.0,0.0
United Nations Office on Drugs and Crime (UNODC),2,0.0,0.0,10.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,6.666666666667,0.0,0.0,0.0,3.333333333333,0.0,0.0,0.0
