IGO_A,IGO_B,mandate_similarity,relational_similarity,delta_incongruence,positive_incongruence,high_incongruence
IOC,ITC,0.36671999137571576,0.7910325240817682,-0.4243125327060524,False,False
IOC,UNCCD,0.6340857108984553,0.8581264594556284,-0.22404074855717304,False,False
IOC,UNU,0.6142602616587425,0.6468303242313304,-0.03257006257258788,False,False
IOC,Ramsar,0.4684689312612151,0.8404081496929385,-0.37193921843172345,False,False
IOC,Minamata,0.6365393056277318,0.8725145477246988,-0.23597524209696707,False,False
IOC,UNOOSA,0.4629612954868925,0.8768179353713493,-0.4138566398844568,False,False
IOC,UNODC,0.1690495631933238,0.8375904889692797,-0.6685409257759559,False,False
FAO,IMO,0.7676442247978623,0.8843912676645296,-0.11674704286666726,False,False
FAO,UN DOALOS,0.9130285653892943,0.6461197640050667,0.2669088013842277,True,False
FAO,UNFCCC,0.9333674034753776,0.7894903881766605,0.1438770152987171,True,False
FAO,ISA,0.16121875613725206,0.752963830816833,-0.5917450746795809,False,False
FAO,UNEP,0.6002779149226379,0.7960437257018488,-0.19576581077921085,False,False
FAO,UNDP,0.4840185075284923,0.7537470541414694,-0.26972854661297707,False,False
FAO,UNCTAD,0.1330891328841588,0.8269398016744551,-0.6938506687902963,False,False
FAO,UNIDO,0.5842806927040186,0.7509180083369702,-0.1666373156329516,False,False
FAO,ILO,0.8461184454422553,0.7142878809512618,0.1318305644909935,True,False
FAO,ITU,0.14879817409774088,0.8020562807082127,-0.6532581066104718,False,False
FAO,UNICEF,0.24550446184294114,0.8469608025776291,-0.6014563407346879,False,False
FAO,WHO,0.22729296535803836,0.8270258046745769,-0.5997328393165385,False,False
FAO,UNHCR/OHCHR,0.17536032988781508,0.7056368552276093,-0.5302765253397943,False,False
FAO,UNDRR,0.4923250323522311,0.8828400906962296,-0.3905150583439985,False,False
FAO,UNGC,0.8320125688320906,0.6794209193457228,0.15259164948636783,True,False
FAO,IAEA,0.805795721585177,0.8048022214459727,0.0009935001392042953,True,False
FAO,WMO,0.7904368128223686,0.7923640254603034,-0.0019272126379348276,False,False
FAO,OECD,0.5253193244166071,0.6230634986721781,-0.09774417425557103,False,False
FAO,WBG,0.5814181275736398,0.7208280390644106,-0.13940991149077087,False,False
FAO,IMF,0.5618653585831606,0.7732778314018528,-0.21141247281869224,False,False
FAO,IHO,0.8627897887553557,0.8073431533828783,0.055446635372477404,True,False
FAO,ICES,0.49276285180584706,0.8023038183396399,-0.30954096653379287,False,False
FAO,IPBES,0.8968502940472872,0.8392658917527538,0.05758440229453343,True,False
FAO,IPCC,0.19341789081445482,0.7683044929445563,-0.5748866021301015,False,False
FAO,WTO,0.5804092439842975,0.8664961167107885,-0.286086872726491,False,False
FAO,IOM,0.57391549074983,0.7779684590947531,-0.20405296834492315,False,False
FAO,UNOPS,0.16507675273994535,0.6408244380926477,-0.4757476853527023,False,False
FAO,UN Women,0.0,0.7957545057554821,-0.7957545057554821,False,False
FAO,WIPO,0.22206714117031637,0.8222005774291448,-0.6001334362588284,False,False
FAO,UNFPA,0.22206714117031637,0.7660009489411423,-0.543933807770826,False,False
FAO,UN-Habitat,0.3797391507273189,0.7580809945288443,-0.37834184380152536,False,False
FAO,WFP,0.06654456644207941,0.7075781963976983,-0.6410336299556189,False,False
FAO,UNWTO,0.5445305521772111,0.76860282658602,-0.22407227440880884,False,False
