relative_path,exclusion_reason
06_scoring_and_normalisation/data/clean/ch04_s6_clean_horizontal_coordination.xlsx,Text-bearing RAW/CLEAN workbook excluded from public distribution; category matrices and scores retained.
06_scoring_and_normalisation/data/clean/ch04_s6_clean_interinstitutional_relationships.xlsx,Text-bearing RAW/CLEAN workbook excluded from public distribution; category matrices and scores retained.
06_scoring_and_normalisation/data/clean/ch04_s6_clean_sources_of_jurisdiction.xlsx,Text-bearing RAW/CLEAN workbook excluded from public distribution; category matrices and scores retained.
06_scoring_and_normalisation/data/clean/ch04_s6_clean_spatial_jurisdiction.xlsx,Text-bearing RAW/CLEAN workbook excluded from public distribution; category matrices and scores retained.
06_scoring_and_normalisation/data/clean/ch04_s6_clean_strategies.xlsx,Text-bearing RAW/CLEAN workbook excluded from public distribution; category matrices and scores retained.
06_scoring_and_normalisation/data/clean/ch04_s6_clean_subject_matter_jurisdiction.xlsx,Text-bearing RAW/CLEAN workbook excluded from public distribution; category matrices and scores retained.
06_scoring_and_normalisation/data/clean/ch04_s6_clean_vertical_coordination.xlsx,Text-bearing RAW/CLEAN workbook excluded from public distribution; category matrices and scores retained.
06_scoring_and_normalisation/data/raw/ch04_s6_raw_defined_objectives.xlsx,Text-bearing RAW/CLEAN workbook excluded from public distribution; category matrices and scores retained.
06_scoring_and_normalisation/data/raw/ch04_s6_raw_horizontal_coordination.xlsx,Text-bearing RAW/CLEAN workbook excluded from public distribution; category matrices and scores retained.
06_scoring_and_normalisation/data/raw/ch04_s6_raw_interinstitutional_relationships.xlsx,Text-bearing RAW/CLEAN workbook excluded from public distribution; category matrices and scores retained.
06_scoring_and_normalisation/data/raw/ch04_s6_raw_sources_of_jurisdiction.xlsx,Text-bearing RAW/CLEAN workbook excluded from public distribution; category matrices and scores retained.
06_scoring_and_normalisation/data/raw/ch04_s6_raw_spatial_jurisdiction.xlsx,Text-bearing RAW/CLEAN workbook excluded from public distribution; category matrices and scores retained.
